context,track,track_order,state_key,beat_id,section,scene_id,visual_id,visual_path,visual_sha256,locale,line_ids,dialogue_texts,voice_paths,bgm_id,ambience_id,shui_id,sfx_event_ids,transition_id,requires_lord_pass
MAIN_STORY,main_story,1,,Z4_S1_01,S1,Z4_S1,Z4-S1-01,assets/e10/art/zone4/cinematic/Z4-S1-01.png,b0fb54fb4291bcca98729c366526bf75af8125e518e8773b2d205e2438cd8ce4,zh-TW,Z4_S1_01_HERO_001,奇怪……剛才明明還看得到路。,assets/e10/audio/zone4/voice/zh-TW/Z4_S1_01_HERO_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,SHUI_VOX_ACK,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,1,,Z4_S1_01,S1,Z4_S1,Z4-S1-01,assets/e10/art/zone4/cinematic/Z4-S1-01.png,b0fb54fb4291bcca98729c366526bf75af8125e518e8773b2d205e2438cd8ce4,en-GB,Z4_S1_01_HERO_001,That’s strange… I could see the path just a moment ago.,assets/e10/audio/zone4/voice/en-GB/Z4_S1_01_HERO_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,SHUI_VOX_ACK,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,2,,Z4_S1_02,S1,Z4_S1,Z4-S1-02,assets/e10/art/zone4/cinematic/Z4-S1-02.png,62bf5edd3678f7c77521f1fc3b1dac3ee9d594552ba86a064f438ddc507bd84a,zh-TW,Z4_S1_02_HERO_001,小水，你還記得我們是從哪邊進來的嗎？,assets/e10/audio/zone4/voice/zh-TW/Z4_S1_02_HERO_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,2,,Z4_S1_02,S1,Z4_S1,Z4-S1-02,assets/e10/art/zone4/cinematic/Z4-S1-02.png,62bf5edd3678f7c77521f1fc3b1dac3ee9d594552ba86a064f438ddc507bd84a,en-GB,Z4_S1_02_HERO_001,"Shui, do you remember which way we came in?",assets/e10/audio/zone4/voice/en-GB/Z4_S1_02_HERO_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,3,,Z4_S1_03,S1,Z4_S1,Z4-S1-03,assets/e10/art/zone4/cinematic/Z4-S1-03.png,0692e26b2a9dd402fde069b25d267358067e1840fb33449140a6c9a3c709ad12,zh-TW,Z4_S1_03_HERO_001|Z4_S1_03_HERO_002,……兩條？|不對，剛剛這裡明明只有一條路。,assets/e10/audio/zone4/voice/zh-TW/Z4_S1_03_HERO_001.mp3|assets/e10/audio/zone4/voice/zh-TW/Z4_S1_03_HERO_002.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,SHUI_VOX_CURIOUS,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,3,,Z4_S1_03,S1,Z4_S1,Z4-S1-03,assets/e10/art/zone4/cinematic/Z4-S1-03.png,0692e26b2a9dd402fde069b25d267358067e1840fb33449140a6c9a3c709ad12,en-GB,Z4_S1_03_HERO_001|Z4_S1_03_HERO_002,…Two paths?|Wait. There was only one path here before.,assets/e10/audio/zone4/voice/en-GB/Z4_S1_03_HERO_001.mp3|assets/e10/audio/zone4/voice/en-GB/Z4_S1_03_HERO_002.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,SHUI_VOX_CURIOUS,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,4,,Z4_S1_04,S1,Z4_S1,Z4-S1-04,assets/e10/art/zone4/cinematic/Z4-S1-04.png,5b8fe9795f21f67bfe8f6357e3574afcda1aa83c0eb4f5db3195bb7cba881e1f,zh-TW,Z4_S1_04_HERO_001,連我自己都跑出來了……？,assets/e10/audio/zone4/voice/zh-TW/Z4_S1_04_HERO_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,4,,Z4_S1_04,S1,Z4_S1,Z4-S1-04,assets/e10/art/zone4/cinematic/Z4-S1-04.png,5b8fe9795f21f67bfe8f6357e3574afcda1aa83c0eb4f5db3195bb7cba881e1f,en-GB,Z4_S1_04_HERO_001,Now there’s another me…?,assets/e10/audio/zone4/voice/en-GB/Z4_S1_04_HERO_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,5,,Z4_S1_05,S1,Z4_S1,Z4-S1-05,assets/e10/art/zone4/cinematic/Z4-S1-05.png,1a8a2c01a050a9d52a209d8c917ff545bdd63e90c923e1e5ec60ac9efd494418,zh-TW,Z4_S1_05_HERO_001|Z4_S1_05_RABBIT_001,誰？|眼睛看見的，就一定是真的嗎？,assets/e10/audio/zone4/voice/zh-TW/Z4_S1_05_HERO_001.mp3|assets/e10/audio/zone4/voice/zh-TW/Z4_S1_05_RABBIT_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,5,,Z4_S1_05,S1,Z4_S1,Z4-S1-05,assets/e10/art/zone4/cinematic/Z4-S1-05.png,1a8a2c01a050a9d52a209d8c917ff545bdd63e90c923e1e5ec60ac9efd494418,en-GB,Z4_S1_05_HERO_001|Z4_S1_05_RABBIT_001,Who’s there?|Can you trust everything you see?,assets/e10/audio/zone4/voice/en-GB/Z4_S1_05_HERO_001.mp3|assets/e10/audio/zone4/voice/en-GB/Z4_S1_05_RABBIT_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
MAIN_STORY,main_story,6,,Z4_S1_06,S1,Z4_S1,Z4-S1-06,assets/e10/art/zone4/cinematic/Z4-S1-06.png,74543853c474af8f0a3c89594a26c752d71d458010c60e5224ce2e588bfb6fa6,zh-TW,Z4_S1_06_RABBIT_001,如果連方向都分不清……又怎麼走得出迷霧森林？,assets/e10/audio/zone4/voice/zh-TW/Z4_S1_06_RABBIT_001.mp3,Z4_BGM_A_MIST_ENTRY,Z4_AMB_MIST_FOREST,,Z4_SFX_MIST_SWEEP,,NO
